name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/18/20,68135,4512,63616
Guangdong,Mainland China,5/18/20,1590,8,1579
Henan,Mainland China,5/18/20,1276,22,1254
Zhejiang,Mainland China,5/18/20,1268,1,1267
Hong Kong,Hong Kong,5/18/20,1055,4,1025
Hunan,Mainland China,5/18/20,1019,4,1015
Anhui,Mainland China,5/18/20,991,6,985
Jiangxi,Mainland China,5/18/20,937,1,936
Heilongjiang,Mainland China,5/18/20,945,13,932
Shandong,Mainland China,5/18/20,788,7,780
Jiangsu,Mainland China,5/18/20,653,0,653
Chongqing,Mainland China,5/18/20,579,6,573
Beijing,Mainland China,5/18/20,593,9,578
Shanghai,Mainland China,5/18/20,666,7,641
Sichuan,Mainland China,5/18/20,561,3,558
Taiwan,Taiwan,5/18/20,440,7,398
Fujian,Mainland China,5/18/20,356,1,355
Hebei,Mainland China,5/18/20,328,6,322
Shaanxi,Mainland China,5/18/20,308,3,303
Guangxi,Mainland China,5/18/20,254,2,252
Nei Mongol,Mainland China,5/18/20,216,1,196
Shanxi,Mainland China,5/18/20,198,0,198
Tianjin,Mainland China,5/18/20,192,3,187
Yunnan,Mainland China,5/18/20,185,2,183
Hainan,Mainland China,5/18/20,169,6,162
Guizhou,Mainland China,5/18/20,147,2,145
Liaoning,Mainland China,5/18/20,149,2,144
Gansu,Mainland China,5/18/20,139,2,137
Jilin,Mainland China,5/18/20,151,2,123
Xinjiang Uygur,Mainland China,5/18/20,76,3,73
Ningxia,Mainland China,5/18/20,75,0,75
Macau,Macau,5/18/20,45,0,44
Qinghai,Mainland China,5/18/20,18,0,18
Xizang,Mainland China,5/18/20,1,0,1
Comoros,Comoros,5/18/20,11,1,3
Tajikistan,Tajikistan,5/18/20,1729,41,0
Yemen,Yemen,5/18/20,130,20,1
Sao Tome and Principe,Sao Tome and Principe,5/18/20,246,7,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/18/20,1,0,1
South Sudan,South Sudan,5/18/20,290,4,4
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/18/20,2,0,0
Malawi,Malawi,5/18/20,70,3,27
Burundi,Burundi,5/18/20,42,1,20
Sierra Leone,Sierra Leone,5/18/20,519,33,148
Botswana,Botswana,5/18/20,25,1,17
Anguilla,Anguilla,5/18/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/18/20,6,0,6
Bermuda,Bermuda,5/18/20,125,9,77
Faroe Islands,Faroe Islands,5/18/20,187,0,187
Gibraltar,Gibraltar,5/18/20,148,0,144
Isle of Man,Isle of Man,5/18/20,335,24,296
Saint Martin,Saint Martin,5/18/20,39,3,30
Montserrat,Montserrat,5/18/20,11,1,10
Mayotte,Mayotte,5/18/20,1370,18,627
New Caledonia,New Caledonia,5/18/20,18,0,18
Sint Maarten,Sint Maarten,5/18/20,77,15,54
Turks and Caicos Islands,Turks and Caicos Islands,5/18/20,12,1,10
Republic of the Congo,Republic of the Congo,5/18/20,412,15,110
Angola,Angola,5/18/20,50,3,17
Benin,Benin,5/18/20,339,2,83
Bahamas,Bahamas,5/18/20,96,11,43
Belize,Belize,5/18/20,18,2,16
Barbados,Barbados,5/18/20,88,7,68
Central African Republic,Central African Republic,5/18/20,327,0,13
Cabo Verde,Cabo Verde,5/18/20,328,3,85
Djibouti,Djibouti,5/18/20,1518,7,1018
Dominica,Dominica,5/18/20,16,0,16
Eritrea,Eritrea,5/18/20,39,0,39
Fiji,Fiji,5/18/20,18,0,15
Gambia,Gambia,5/18/20,24,1,13
Guinea-Bissau,Guinea-Bissau,5/18/20,1032,4,38
Equatorial Guinea,Equatorial Guinea,5/18/20,719,7,22
Grenada,Grenada,5/18/20,22,0,14
Haiti,Haiti,5/18/20,533,21,21
Kyrgyzstan,Kyrgyzstan,5/18/20,1216,14,827
Saint Kitts and Nevis,Saint Kitts and Nevis,5/18/20,15,0,14
Laos,Laos,5/18/20,19,0,14
Liberia,Liberia,5/18/20,229,22,123
Libya,Libya,5/18/20,65,3,35
Madagascar,Madagascar,5/18/20,322,1,119
Mali,Mali,5/18/20,874,52,512
Montenegro,Montenegro,5/18/20,324,9,311
Mozambique,Mozambique,5/18/20,145,0,44
Mauritius,Mauritius,5/18/20,334,9,302
Niger,Niger,5/18/20,909,55,714
Nicaragua,Nicaragua,5/18/20,25,8,7
Papua New Guinea,Papua New Guinea,5/18/20,8,0,8
El Salvador,El Salvador,5/18/20,1413,30,474
